CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/31/2017 02:00:00 AM,17-067818,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1700 TELEGRAPH AV,Oakland,CA,"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
MOTOR VEHICLE THEFT,12/16/2017 10:40:00 AM,17-065294,VEHICLE THEFT - AUTO,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
ASSAULT,02/01/2018 09:22:00 PM,18-005840,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,02X,900 FILBERT ST,Oakland,CA,"900 FILBERT ST
Oakland, CA
(37.80584, -122.284017)"
THEFT/LARCENY,12/18/2017 07:30:00 PM,17-065784,BURGLARY-AUTO,04X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
DISTURBING THE PEACE,02/02/2018 12:00:00 AM,18-006005,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM,12/09/2017 11:30:00 AM,17-919495,VANDALISM,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
THEFT/LARCENY,11/28/2017 12:00:00 PM,17-918689,BURGLARY-AUTO,01X,300 CASTRO ST,Oakland,CA,"300 CASTRO ST
Oakland, CA
(37.799376, -122.281688)"
MOTOR VEHICLE THEFT,12/12/2017 09:30:00 PM,17-064684,VEHICLE THEFT - AUTO,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
VANDALISM,12/10/2017 06:30:00 PM,17-919521,VANDALISM,,PIEDMONT AVE,Oakland,CA,"PIEDMONT AVE
Oakland, CA
"
MOTOR VEHICLE THEFT,12/23/2017 11:36:00 AM,17-066680,VEHICLE THEFT - OTHER VEHICLES,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
ASSAULT,01/01/2018 09:19:00 AM,18-000065,BATTERY,32Y,10400 MACARTHUR BLVD,Oakland,CA,"10400 MACARTHUR BLVD
Oakland, CA
(37.743389, -122.152898)"
VANDALISM,01/07/2018 12:00:00 AM,18-001330,VANDALISM,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,12/05/2017 09:00:00 AM,17-063418,VANDALISM,34X,2000 85TH AV,Oakland,CA,"2000 85TH AV
Oakland, CA
(37.756885, -122.170397)"
ASSAULT,12/31/2017 06:50:00 PM,17-067907,INFLICT CRPL INJ SP/COHAB,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
MOTOR VEHICLE THEFT,12/19/2017 12:15:00 PM,17-065872,VEHICLE THEFT - AUTO,19X,1500 16TH AV,Oakland,CA,"1500 16TH AV
Oakland, CA
(37.78943, -122.243166)"
ROBBERY,11/21/2017 07:26:00 PM,17-060927,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
THEFT/LARCENY,12/07/2017 10:45:00 AM,17-063690,GRAND THEFT FROM PERSON,23X,4000 INTERNATIONAL BLVD,Oakland,CA,"4000 INTERNATIONAL BLVD
Oakland, CA
(37.773876, -122.217943)"
THEFT/LARCENY,11/27/2017 06:30:00 PM,17-918654,BURGLARY-AUTO,14Y,700 WALKER AVE,Oakland,CA,"700 WALKER AVE
Oakland, CA
(37.811446, -122.246945)"
THEFT/LARCENY,01/09/2018 08:00:00 PM,18-001655,BURGLARY-AUTO,33X,9400 D ST,Oakland,CA,"9400 D ST
Oakland, CA
(37.744635, -122.177697)"
VANDALISM,12/11/2017 08:40:00 AM,17-919541,VANDALISM,25X,00 SELKIRK ST,Oakland,CA,"00 SELKIRK ST
Oakland, CA
"
MOTOR VEHICLE THEFT,11/21/2017 05:00:00 PM,17-061092,VEHICLE THEFT - AUTO,23X,3200 E 9TH ST,Oakland,CA,"3200 E 9TH ST
Oakland, CA
(37.77355, -122.228132)"
ASSAULT,01/04/2018 11:44:00 AM,18-000635,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM,02X,1100 8TH ST,Oakland,CA,"1100 8TH ST
Oakland, CA
(37.804694, -122.287201)"
BURGLARY,01/30/2018 11:55:00 AM,18-005312,BURGLARY-FORCIBLE ENTRY,22Y,3400 LAUREL AV,Oakland,CA,"3400 LAUREL AV
Oakland, CA
(37.794593, -122.205373)"
THEFT/LARCENY,12/05/2017 07:12:00 AM,17-063350,THEFT,23X,4200 INTERNATIONAL BLVD,Oakland,CA,"4200 INTERNATIONAL BLVD
Oakland, CA
(37.772651, -122.215377)"
THEFT/LARCENY,11/27/2017 07:35:00 PM,17-918650,BURGLARY-AUTO,13Z,2000 MOUNTAIN BOULEVARD,Oakland,CA,"2000 MOUNTAIN BOULEVARD
Oakland, CA
(37.827181, -122.209917)"
ASSAULT,01/09/2018 11:34:00 PM,18-001590,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,5100 BANCROFT AV,Oakland,CA,"5100 BANCROFT AV
Oakland, CA
(37.771773, -122.204876)"
THEFT/LARCENY,12/11/2017 11:00:00 AM,17-919540,THEFT,07X,2600 MYRTLE ST,Oakland,CA,"2600 MYRTLE ST
Oakland, CA
(37.817757, -122.278603)"
ASSAULT,12/05/2017 08:45:00 AM,17-063297,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,8400 ENTERPRISE WY,Oakland,CA,"8400 ENTERPRISE WY
Oakland, CA
(37.743996, -122.194839)"
ASSAULT,02/03/2018 09:00:00 AM,18-006156,BATTERY:SPOUSE/ETC,11X,500 59TH ST,Oakland,CA,"500 59TH ST
Oakland, CA
(37.84503, -122.261711)"
THEFT/LARCENY,12/31/2017 04:30:00 PM,18-900782,THEFT,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.795899, -122.278007)"
THEFT/LARCENY,12/31/2017 12:51:00 PM,18-900795,GRAND THEFT,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.805162, -122.293993)"
ROBBERY,12/19/2017 02:43:00 AM,17-065824,ROBBERY-FIREARM,31Z,10800 RUSSETT ST,Oakland,CA,"10800 RUSSETT ST
Oakland, CA
(37.733695, -122.17312)"
SEX CRIMES,01/22/2018 11:50:00 PM,18-003969,LOITER:INTENT:PROSTITUTION,19X,1700 MARIN WY,Oakland,CA,"1700 MARIN WY
Oakland, CA
(37.788154, -122.242799)"
MOTOR VEHICLE THEFT,12/18/2017 05:48:00 PM,17-065802,VEHICLE THEFT - AUTO,05Y,1400 17TH ST,Oakland,CA,"1400 17TH ST
Oakland, CA
(37.813056, -122.290868)"
MOTOR VEHICLE THEFT,12/04/2017 09:00:00 PM,17-063260,VEHICLE THEFT - AUTO,25X,3600 BROWN AV,Oakland,CA,"3600 BROWN AV
Oakland, CA
(37.791815, -122.198748)"
ASSAULT,11/20/2017 11:30:00 AM,17-060766,THREAT CRIME:INT:TERRORIZE,24X,2100 38TH AV,Oakland,CA,"2100 38TH AV
Oakland, CA
(37.781197, -122.213618)"
VANDALISM,12/11/2017 05:00:00 PM,17-919547,VANDALISM,13X,6500 BROADWAY,Oakland,CA,"6500 BROADWAY
Oakland, CA
(37.848653, -122.230788)"
ROBBERY,01/10/2018 01:00:00 PM,18-001687,ROBBERY-FIREARM,10Y,800 56TH ST,Oakland,CA,"800 56TH ST
Oakland, CA
(37.840666, -122.269999)"
THEFT/LARCENY,11/27/2017 08:00:00 PM,17-918677,BURGLARY-AUTO,,TELEGRAPH AVE/48TH ST,Oakland,CA,"TELEGRAPH AVE/48TH ST
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,12/31/2017 04:10:00 AM,17-067826,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,1000 W GRAND AV,Oakland,CA,"1000 W GRAND AV
Oakland, CA
(37.814967, -122.281099)"
DISTURBING THE PEACE,12/20/2017 12:00:00 AM,17-066844,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ASSAULT,02/03/2018 05:22:00 AM,18-006060,BATTERY W/SERIOUS BODILY INJURY,03X,1100 BROADWAY,Oakland,CA,"1100 BROADWAY
Oakland, CA
(37.802661, -122.272234)"
ASSAULT,12/04/2017 09:05:00 PM,17-063230,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,13Z,6400 MORAGA AV,Oakland,CA,"6400 MORAGA AV
Oakland, CA
(37.827178, -122.211313)"
THEFT/LARCENY,11/27/2017 11:30:00 AM,17-918664,BURGLARY-AUTO,04X,1500 LAKESIDE DRIVE,Oakland,CA,"1500 LAKESIDE DRIVE
Oakland, CA
(37.802944, -122.261708)"
ROBBERY,01/02/2018 06:16:00 PM,18-000315,ROBBERY-FIREARM,02X,1000 12TH ST,Oakland,CA,"1000 12TH ST
Oakland, CA
(37.791249, -122.250477)"
ROBBERY,12/18/2017 08:00:00 PM,17-065782,ROBBERY-FIREARM,17X,500 E 19TH ST,Oakland,CA,"500 E 19TH ST
Oakland, CA
(37.798949, -122.24912)"
ASSAULT,01/19/2018 03:00:00 PM,18-003401,BATTERY,20X,1000 26TH AV,Oakland,CA,"1000 26TH AV
Oakland, CA
(37.778864, -122.23537)"
MOTOR VEHICLE THEFT,11/22/2017 10:00:00 PM,17-061114,VEHICLE THEFT - AUTO,07X,2700 CHESTNUT ST,Oakland,CA,"2700 CHESTNUT ST
Oakland, CA
(37.819646, -122.281308)"
DRUGS/ALCOHOL VIOLATIONS,02/02/2018 11:13:00 PM,18-006031,POSSESS/PURCHASE COCAINE BASE FOR SALE,02X,1000 7TH ST,Oakland,CA,"1000 7TH ST
Oakland, CA
(37.803233, -122.284972)"
ASSAULT,12/29/2017 02:30:00 PM,17-067606,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,900 72ND AV,Oakland,CA,"900 72ND AV
Oakland, CA
(37.755164, -122.194892)"
ASSAULT,02/02/2018 08:26:00 PM,18-006014,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,1300 73RD AV,Oakland,CA,"1300 73RD AV
Oakland, CA
"
VANDALISM,01/01/2018 12:00:00 AM,18-900793,VANDALISM,01X,200 4TH ST,Oakland,CA,"200 4TH ST
Oakland, CA
(37.7951, -122.269561)"
VANDALISM,11/21/2017 10:00:00 AM,17-918691,VANDALISM,07X,2500 LINDEN ST,Oakland,CA,"2500 LINDEN ST
Oakland, CA
(37.817627, -122.280877)"
THEFT/LARCENY,12/09/2017 12:45:00 PM,17-919506,BURGLARY-AUTO,07X,3100 MAGNOLIA ST,Oakland,CA,"3100 MAGNOLIA ST
Oakland, CA
(37.823329, -122.282318)"
THEFT/LARCENY,11/27/2017 08:10:00 PM,17-918674,BURGLARY-AUTO,03X,1000 WEBSTER ST,Oakland,CA,"1000 WEBSTER ST
Oakland, CA
(37.800633, -122.270503)"
ROBBERY,12/04/2017 10:00:00 AM,17-063108,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26Y,6400 INTERNATIONAL BLVD,Oakland,CA,"6400 INTERNATIONAL BLVD
Oakland, CA
(37.763032, -122.195145)"
ASSAULT,01/17/2018 05:30:00 PM,18-003277,BATTERY,21X,2400 26TH AV,Oakland,CA,"2400 26TH AV
Oakland, CA
(37.78864, -122.225217)"
ASSAULT,01/22/2018 09:35:00 PM,18-003954,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,21X,2300 25TH AV,Oakland,CA,"2300 25TH AV
Oakland, CA
(37.787933, -122.226966)"
THEFT/LARCENY,12/10/2017 05:55:00 PM,17-919508,BURGLARY-AUTO,31X,400 HEGENBERGER ROAD,Oakland,CA,"400 HEGENBERGER ROAD
Oakland, CA
(37.735772, -122.197083)"
MOTOR VEHICLE THEFT,02/02/2018 06:18:00 PM,18-005993,VEHICLE THEFT - AUTO,23X,1900 33RD AV,Oakland,CA,"1900 33RD AV
Oakland, CA
(37.782775, -122.222001)"
THEFT/LARCENY,01/01/2018 10:45:00 AM,18-900768,THEFT,03Y,1200 CLAY ST,Oakland,CA,"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
ASSAULT,12/17/2017 08:00:00 AM,17-065815,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,4700 CONGRESS AV,Oakland,CA,"4700 CONGRESS AV
Oakland, CA
(37.778567, -122.204569)"
MOTOR VEHICLE THEFT,11/17/2017 10:15:00 AM,17-060173,VEHICLE THEFT - AUTO,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
MOTOR VEHICLE THEFT,12/14/2017 08:08:00 AM,17-064919,VEHICLE THEFT - AUTO,31Z,9800 PEARMAIN ST,Oakland,CA,"9800 PEARMAIN ST
Oakland, CA
(37.738233, -122.18081)"
VANDALISM,01/19/2018 05:00:00 PM,18-003523,VANDALISM,24Y,2600 39TH AV,Oakland,CA,"2600 39TH AV
Oakland, CA
(37.785053, -122.206393)"
ASSAULT,11/16/2017 07:45:00 AM,17-059962,BATTERY,32Y,9900 BANCROFT AV,Oakland,CA,"9900 BANCROFT AV
Oakland, CA
(37.746208, -122.160018)"
ASSAULT,11/16/2017 03:00:00 PM,17-060047,EXHIBIT FIREARM,35X,2300 96TH AV,Oakland,CA,"2300 96TH AV
Oakland, CA
(37.750273, -122.16191)"
THEFT/LARCENY,01/01/2018 03:00:00 AM,18-000084,THEFT,02Y,1700 GOSS ST,Oakland,CA,"1700 GOSS ST
Oakland, CA
(37.807388, -122.300588)"
VANDALISM,12/04/2017 02:39:00 PM,17-063185,VANDALISM:DAMAGE PROPERTY,04X,300 15TH ST,Oakland,CA,"300 15TH ST
Oakland, CA
(37.803956, -122.267163)"
THEFT/LARCENY,01/17/2018 04:00:00 PM,18-004117,THEFT,27Y,5400 WENTWORTH AV,Oakland,CA,"5400 WENTWORTH AV
Oakland, CA
(37.770059, -122.20065)"
FRAUD,12/08/2017 02:00:00 PM,17-919502,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,03X,800 HARRISON ST,Oakland,CA,"800 HARRISON ST
Oakland, CA
(37.799102, -122.270003)"
THEFT/LARCENY,12/19/2017 06:55:00 PM,17-065958,BURGLARY-AUTO,13Z,6200 MEDAU PL,Oakland,CA,"6200 MEDAU PL
Oakland, CA
(37.827343, -122.210049)"
VANDALISM,12/17/2017 04:11:00 PM,17-065518,VANDALISM:DAMAGE PROPERTY,03Y,1200 JEFFERSON ST,Oakland,CA,"1200 JEFFERSON ST
Oakland, CA
(37.804348, -122.275635)"
VANDALISM,12/28/2017 10:00:00 PM,18-900780,VANDALISM,,2000 ARDEN PLACE,Oakland,CA,"2000 ARDEN PLACE
Oakland, CA
"
MOTOR VEHICLE THEFT,01/20/2018 06:30:00 AM,18-003899,VEHICLE THEFT - AUTO,08X,3800 CLARKE ST,Oakland,CA,"3800 CLARKE ST
Oakland, CA
(37.826903, -122.263759)"
DRUGS/ALCOHOL VIOLATIONS,02/03/2018 11:38:00 AM,18-006107,POSSESS CONTROLLED SUBSTANCE,16Y,4400 PARK BLVD,Oakland,CA,"4400 PARK BLVD
Oakland, CA
(37.808325, -122.219979)"
MOTOR VEHICLE THEFT,12/31/2017 10:30:00 AM,18-000235,VEHICLE THEFT - AUTO,77X,9600 HILLSIDE ST,Oakland,CA,"9600 HILLSIDE ST
Oakland, CA
"
ASSAULT,01/21/2018 08:00:00 PM,18-003763,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,6600 LEONA CREEK DR,Oakland,CA,"6600 LEONA CREEK DR
Oakland, CA
(37.757476, -122.199826)"
MOTOR VEHICLE THEFT,01/02/2018 09:35:00 AM,18-000187,VEHICLE THEFT - AUTO,29X,2600 62ND AV,Oakland,CA,"2600 62ND AV
Oakland, CA
(37.770168, -122.187954)"
BURGLARY,12/18/2017 08:20:00 AM,17-065812,BURGLARY-FORCIBLE ENTRY,30X,8100 PLYMOUTH ST,Oakland,CA,"8100 PLYMOUTH ST
Oakland, CA
(37.758084, -122.17616)"
ASSAULT,11/21/2017 09:45:00 PM,17-060951,BATTERY,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY,12/04/2017 09:55:00 PM,17-063255,THEFT,18Y,2700 14TH AV,Oakland,CA,"2700 14TH AV
Oakland, CA
(37.796687, -122.232874)"
THEFT/LARCENY,12/04/2017 05:00:00 PM,17-063303,BURGLARY-AUTO,25Y,6400 BLUE ROCK CT,Oakland,CA,"6400 BLUE ROCK CT
Oakland, CA
(37.779228, -122.167289)"
MOTOR VEHICLE THEFT,01/23/2018 06:39:00 PM,18-004124,VEHICLE THEFT - AUTO,27Y,1400 55TH AV,Oakland,CA,"1400 55TH AV
Oakland, CA
(37.767077, -122.203683)"
DISTURBING THE PEACE,11/28/2017 06:28:00 AM,17-061974,DISTURB THE PEACE,19X,100 E 12TH ST,Oakland,CA,"100 E 12TH ST
Oakland, CA
(37.79923, -122.263076)"
DUI,02/02/2018 11:40:00 PM,18-006032,DUI ALCOHOL/DRUGS,21X,1700 24TH AV,Oakland,CA,"1700 24TH AV
Oakland, CA
(37.784947, -122.231976)"
THEFT/LARCENY,01/01/2018 01:20:00 AM,18-000022,RECEIVE/ETC KNOWN STOLEN PROPERTY,06X,3000 SAN PABLO AV,Oakland,CA,"3000 SAN PABLO AV
Oakland, CA
(37.821169, -122.276625)"
ASSAULT,01/01/2018 01:31:00 AM,18-000025,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2400 COLE ST,Oakland,CA,"2400 COLE ST
Oakland, CA
(37.775134, -122.198706)"
ASSAULT,01/01/2018 12:12:00 AM,18-000004,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2600 E 27TH ST,Oakland,CA,"2600 E 27TH ST
Oakland, CA
(37.79142, -122.22244)"
MOTOR VEHICLE THEFT,12/01/2017 12:00:00 PM,17-063188,VEHICLE THEFT - AUTO,02X,1000 7TH ST,Oakland,CA,"1000 7TH ST
Oakland, CA
(37.803233, -122.284972)"
DRUGS/ALCOHOL VIOLATIONS,02/01/2018 03:11:00 PM,18-005781,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,19X,1500 20TH AV,Oakland,CA,"1500 20TH AV
Oakland, CA
(37.786886, -122.238974)"
ASSAULT,02/03/2018 11:00:00 AM,18-006168,BATTERY,04X,100 14TH ST,Oakland,CA,"100 14TH ST
Oakland, CA
(37.801066, -122.26288)"
MOTOR VEHICLE THEFT,12/03/2017 10:00:00 PM,17-063223,VEHICLE THEFT - AUTO,18Y,2400 23RD AV,Oakland,CA,"2400 23RD AV
Oakland, CA
(37.790867, -122.228981)"
MOTOR VEHICLE THEFT,01/20/2018 04:12:00 AM,18-003497,VEHICLE THEFT - AUTO,23X,3300 E 8TH ST,Oakland,CA,"3300 E 8TH ST
Oakland, CA
(37.772601, -122.226892)"
THEFT/LARCENY,12/09/2017 04:30:00 PM,17-919509,GRAND THEFT,14X,400 GRAND AVE,Oakland,CA,"400 GRAND AVE
Oakland, CA
(37.808774, -122.253814)"
THEFT/LARCENY,01/03/2018 10:00:00 AM,18-000464,BURGLARY-AUTO,07X,2500 MANDELA PKWY,Oakland,CA,"2500 MANDELA PKWY
Oakland, CA
(37.81977, -122.288991)"
ASSAULT,12/18/2017 09:18:00 PM,17-065793,BATTERY W/SERIOUS BODILY INJURY,31Y,200 GANNON RD,Oakland,CA,"200 GANNON RD
Oakland, CA
(37.731266, -122.192618)"
ASSAULT,01/10/2018 01:00:00 AM,18-001662,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31X,700 73RD AV,Oakland,CA,"700 73RD AV
Oakland, CA
(37.752413, -122.197729)"
THEFT/LARCENY,11/27/2017 07:20:00 PM,17-918668,BURGLARY-AUTO,,00,Oakland,CA,"00
Oakland, CA
"
MOTOR VEHICLE THEFT,12/07/2017 12:17:00 AM,17-063638,VEHICLE THEFT - AUTO,19X,1200 7TH AV,Oakland,CA,"1200 7TH AV
Oakland, CA
(37.793688, -122.253026)"
ASSAULT,12/04/2017 09:45:00 AM,17-063107,BATTERY,14Y,00 MOSS AV,Oakland,CA,"00 MOSS AV
Oakland, CA
"
ASSAULT,11/22/2017 08:59:00 PM,17-061107,BATTERY,22X,3500 RHODA AV,Oakland,CA,"3500 RHODA AV
Oakland, CA
(37.798752, -122.209856)"
BURGLARY,01/10/2018 11:03:00 AM,18-001656,BURGLARY-FORCIBLE ENTRY,19X,2000 FOOTHILL BLVD,Oakland,CA,"2000 FOOTHILL BLVD
Oakland, CA
(37.787495, -122.238406)"
THEFT/LARCENY,11/27/2017 07:10:00 PM,17-918652,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740775, -122.198319)"
ASSAULT,12/04/2017 04:00:00 AM,17-063081,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,8500 INTERNATIONAL BLVD,Oakland,CA,"8500 INTERNATIONAL BLVD
Oakland, CA
(37.753485, -122.17717)"
MOTOR VEHICLE THEFT,12/18/2017 08:15:00 AM,17-065624,VEHICLE THEFT - AUTO,19X,2000 E 15TH ST,Oakland,CA,"2000 E 15TH ST
Oakland, CA
(37.786465, -122.238863)"
THEFT/LARCENY,12/07/2017 05:47:00 PM,17-919545,BURGLARY-AUTO,,22ND ST./FRANKLIN ST.,Oakland,CA,"22ND ST./FRANKLIN ST.
Oakland, CA
"
BURGLARY,12/04/2017 10:18:00 PM,17-063250,BURGLARY-NO FORCE,25X,3500 VICTOR AV,Oakland,CA,"3500 VICTOR AV
Oakland, CA
(37.797854, -122.19284)"
ASSAULT,02/03/2018 05:48:00 PM,18-006103,BATTERY,32Y,2300 109TH AV,Oakland,CA,"2300 109TH AV
Oakland, CA
(37.740052, -122.154157)"
MOTOR VEHICLE THEFT,11/12/2017 07:00:00 AM,17-062051,VEHICLE THEFT - AUTO,24X,2000 36TH AV,Oakland,CA,"2000 36TH AV
Oakland, CA
(37.78214, -122.216738)"
THEFT/LARCENY,12/11/2017 09:05:00 AM,17-919535,BURGLARY-AUTO,,13TH AVE,Oakland,CA,"13TH AVE
Oakland, CA
"
BURGLARY,12/03/2017 07:57:00 PM,17-063197,BURGLARY-FORCIBLE ENTRY,30X,7800 HOLLY ST,Oakland,CA,"7800 HOLLY ST
Oakland, CA
(37.759648, -122.180139)"
THEFT/LARCENY,12/19/2017 01:07:00 AM,17-065809,BURGLARY-AUTO,33X,1300 97TH AV,Oakland,CA,"1300 97TH AV
Oakland, CA
(37.74433, -122.172593)"
ASSAULT,01/19/2018 10:50:00 PM,18-003498,BATTERY,04X,1800 ALICE ST,Oakland,CA,"1800 ALICE ST
Oakland, CA
(37.805619, -122.264454)"
ASSAULT,01/20/2018 10:50:00 PM,18-003464,INFLICT CRPL INJ SP/COHAB,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776991, -122.209444)"
THEFT/LARCENY,11/21/2017 03:00:00 PM,17-060895,BURGLARY-AUTO,03X,1200 OAK ST,Oakland,CA,"1200 OAK ST
Oakland, CA
(37.799902, -122.263602)"
THEFT/LARCENY,11/27/2017 08:30:00 PM,17-918686,BURGLARY-AUTO,13X,5600 ESTATES DRIVE,Oakland,CA,"5600 ESTATES DRIVE
Oakland, CA
(37.834432, -122.219493)"
THEFT/LARCENY,12/05/2017 12:48:00 PM,17-063357,THEFT,10Y,800 56TH ST,Oakland,CA,"800 56TH ST
Oakland, CA
(37.840666, -122.269999)"
VANDALISM,11/23/2017 03:00:00 AM,17-061148,VANDALISM,26Y,1000 76TH AV,Oakland,CA,"1000 76TH AV
Oakland, CA
(37.754202, -122.19097)"
DISTURBING THE PEACE,12/24/2017 12:15:00 PM,17-067064,DISTURB THE PEACE,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA
"
THEFT/LARCENY,11/26/2017 11:00:00 PM,17-918667,BURGLARY-AUTO,,300 W 2ND ST,Oakland,CA,"300 W 2ND ST
Oakland, CA
(37.794698, -122.272877)"
THEFT/LARCENY,11/21/2017 03:17:00 PM,17-060918,THEFT,04X,1400 CLAY ST,Oakland,CA,"1400 CLAY ST
Oakland, CA
(37.805597, -122.273393)"
ASSAULT,01/11/2018 09:40:00 AM,18-001827,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,26Y,7900 INTERNATIONAL BLVD,Oakland,CA,"7900 INTERNATIONAL BLVD
Oakland, CA
(37.756951, -122.182248)"
MOTOR VEHICLE THEFT,12/07/2017 08:42:00 AM,17-063666,VEHICLE THEFT - AUTO,26Y,7100 HAMILTON ST,Oakland,CA,"7100 HAMILTON ST
Oakland, CA
(37.757861, -122.19173)"
MOTOR VEHICLE THEFT,02/02/2018 04:30:00 PM,18-006080,VEHICLE THEFT - AUTO,27Y,1600 54TH AV,Oakland,CA,"1600 54TH AV
Oakland, CA
(37.769725, -122.204155)"
THEFT/LARCENY,01/19/2018 07:08:00 PM,18-003424,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740775, -122.198319)"
ASSAULT,01/01/2018 12:26:00 AM,18-000008,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,29X,3400 64TH AV PL,Oakland,CA,"3400 64TH AV PL
Oakland, CA
(37.774278, -122.178315)"
THEFT/LARCENY,12/28/2017 08:10:00 PM,18-000045,THEFT,24X,4000 SAN JUAN ST,Oakland,CA,"4000 SAN JUAN ST
Oakland, CA
(37.7782, -122.214332)"
VANDALISM,12/09/2017 07:30:00 PM,17-919494,VANDALISM,14Y,400 LAKE PARK AVE,Oakland,CA,"400 LAKE PARK AVE
Oakland, CA
(37.811458, -122.247926)"
ASSAULT,02/03/2018 01:50:00 PM,18-006111,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10Y,800 STANFORD AV,Oakland,CA,"800 STANFORD AV
Oakland, CA
(37.846191, -122.273019)"
BURGLARY,01/01/2018 06:10:00 AM,18-000059,BURGLARY-FORCIBLE ENTRY,03X,300 10TH ST,Oakland,CA,"300 10TH ST
Oakland, CA
(37.800161, -122.269343)"
VANDALISM,11/16/2017 10:50:00 AM,17-059992,VANDALISM [UNDER $400],05X,2100 POPLAR ST,Oakland,CA,"2100 POPLAR ST
Oakland, CA
(37.815443, -122.287397)"
THEFT/LARCENY,12/31/2017 05:30:00 PM,18-000141,THEFT,20X,2400 E 16TH ST,Oakland,CA,"2400 E 16TH ST
Oakland, CA
(37.784158, -122.232871)"
VANDALISM,11/23/2017 05:05:00 AM,17-061137,VANDALISM:DAMAGE PROPERTY,04X,1400 JACKSON ST,Oakland,CA,"1400 JACKSON ST
Oakland, CA
(37.801984, -122.265237)"
